City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
599,Tual,ID,83.57,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
608,Mucurapo,TT,80.13,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
613,Tarakan,ID,83.7,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
615,Buala,SB,84.7,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
618,Kawalu,ID,83.5,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
626,Byron Bay,AU,82.36,light rain,-28.65,153.6167,Backpackers Inn
630,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
636,Osmena,PH,81.27,light rain,10.5208,119.9258,Arjemarkyza Lodge
641,Bago,MM,80.73,scattered clouds,17.3367,96.4797,Jade Garden
653,Kailua,US,82.08,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
655,Poya,NC,83.53,light rain,-21.35,165.15,
656,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
659,Salinopolis,BR,80.35,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
667,Davila,PH,84.18,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
668,Kununurra,AU,93.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
