City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
70,Port Elizabeth,ZA,-33.918,25.5701,64.09,80,95,22.75,overcast clouds
71,Vaitape,PF,-16.5167,-151.75,82.11,72,8,15.26,clear sky
72,Shache,CN,38.4167,77.2406,30.54,42,13,3.18,few clouds
73,Fairbanks,US,64.8378,-147.7164,-0.44,68,40,0.0,light snow
74,Esperance,AU,-33.8667,121.9,66.04,56,0,8.03,clear sky
75,Eregli,TR,37.5133,34.0467,41.85,86,4,1.95,clear sky
76,Vostok,RU,46.4856,135.8833,13.15,92,100,4.32,light snow
77,Saldanha,ZA,-33.0117,17.9442,71.65,51,5,11.79,clear sky
78,Edgewater,US,28.9889,-80.9023,65.28,88,75,0.0,broken clouds
79,Leningradskiy,RU,69.3833,178.4167,-23.03,97,99,5.19,overcast clouds
80,Cabo San Lucas,MX,22.8909,-109.9124,77.61,76,90,1.99,overcast clouds
81,Griffith,US,41.5284,-87.4237,32.16,77,90,4.0,overcast clouds
82,Bengkulu,ID,-3.8004,102.2655,84.02,66,62,3.83,broken clouds
83,Jiexiu,CN,37.0244,111.9125,43.39,31,0,3.24,clear sky
84,Ugoofaaru,MV,5.6667,73.0,81.25,76,96,10.02,overcast clouds
85,Berdsk,RU,54.7551,83.0967,2.8,98,99,13.49,overcast clouds
86,Clyde River,CA,70.4692,-68.5914,-4.05,99,99,3.2,overcast clouds
87,Eureka,US,40.8021,-124.1637,54.63,75,100,1.99,overcast clouds
88,Cape Town,ZA,-33.9258,18.4232,65.1,60,0,5.75,clear sky
89,Hilo,US,19.7297,-155.09,73.8,96,90,5.75,moderate rain
90,Codrington,AU,-38.2667,141.9667,54.18,84,100,23.96,overcast clouds
91,Gurupi,BR,-11.7292,-49.0686,74.48,88,100,4.59,overcast clouds
92,Fortuna,US,40.5982,-124.1573,54.36,76,1,1.01,clear sky
93,Hobart,AU,-42.8794,147.3294,62.06,58,75,3.0,broken clouds
94,Nabire,ID,-3.3667,135.4833,83.71,79,88,3.09,overcast clouds
95,Yerbogachen,RU,61.2767,108.0108,6.87,99,100,3.31,overcast clouds
96,Dickinson,US,29.4608,-95.0513,59.09,78,90,8.01,overcast clouds
97,Taoudenni,ML,22.6783,-3.9836,74.62,32,55,8.59,broken clouds
98,Qaanaaq,GL,77.484,-69.3632,1.54,77,100,5.99,overcast clouds
