City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Feltre,IT,2021-11-22 13:49:20,46.0235,11.907,54.59,65,98,1.88
59,Hillsborough,US,2021-11-22 13:49:20,37.5741,-122.3794,59.65,72,1,0.0
60,Mount Gambier,AU,2021-11-22 13:49:21,-37.8333,140.7667,57.11,88,100,0.0
61,Bambous Virieux,MU,2021-11-22 13:49:21,-20.3428,57.7575,82.65,57,20,8.05
62,Kalmunai,LK,2021-11-22 13:49:21,7.4167,81.8167,79.86,79,98,11.86
63,Grindavik,IS,2021-11-22 13:49:22,63.8424,-22.4338,46.87,100,90,35.68
64,Atuona,PF,2021-11-22 13:49:22,-9.8,-139.0333,76.89,80,79,11.52
65,Vung Tau,VN,2021-11-22 13:49:22,10.346,107.0843,82.17,78,99,20.18
66,Ayagoz,KZ,2021-11-22 13:49:23,47.9714,80.4392,32.16,91,75,19.26
67,Neryungri,RU,2021-11-22 13:49:23,56.6709,124.6491,-18.67,98,97,3.91
68,Punta Gorda,US,2021-11-22 13:49:24,26.9298,-82.0454,74.07,91,75,3.0
69,Punta Arenas,CL,2021-11-22 13:49:24,-53.15,-70.9167,42.91,52,75,26.46
70,Ribeira Grande,PT,2021-11-22 13:49:24,38.5167,-28.7,66.6,88,75,26.46
71,Te Anau,NZ,2021-11-22 13:49:25,-45.4167,167.7167,46.63,92,91,2.37
72,Santa Maria,BR,2021-11-22 13:49:25,-29.6842,-53.8069,87.1,40,0,3.44
73,Clifton Springs,AU,2021-11-22 13:49:25,-38.15,144.5667,62.19,83,100,4.18
74,Margate,GB,2021-11-22 13:49:26,51.3813,1.3862,52.03,69,19,1.99
75,Castro,BR,2021-11-22 13:45:16,-24.7911,-50.0119,77.31,42,4,1.92
76,Jumla,NP,2021-11-22 13:49:26,29.2747,82.1838,41.16,54,0,5.41
77,Bredasdorp,ZA,2021-11-22 13:49:26,-34.5322,20.0403,64.22,78,100,11.5
78,Piombino,IT,2021-11-22 13:49:27,42.9348,10.5221,64.45,61,97,1.01
79,Dauphin,CA,2021-11-22 13:49:27,51.1494,-100.0502,15.94,73,90,3.44
80,Hithadhoo,MV,2021-11-22 13:49:27,-0.6,73.0833,82.45,74,100,11.14
81,Codrington,AU,2021-11-22 13:49:28,-38.2667,141.9667,57.7,75,100,11.32
82,Mayo,US,2021-11-22 13:49:28,38.8876,-76.5119,50.11,91,75,1.99
83,Puerto Ayora,EC,2021-11-22 13:49:29,-0.7393,-90.3518,68.88,72,59,8.75
84,Nome,US,2021-11-22 13:49:29,64.5011,-165.4064,8.67,52,90,10.36
85,Laguna,US,2021-11-22 13:49:29,38.421,-121.4238,55.02,100,1,0.0
86,Sidney,AU,2021-11-22 13:47:30,-33.8679,151.2073,63.23,91,75,1.99
87,Nemuro,JP,2021-11-22 13:49:30,43.3236,145.575,49.21,93,100,42.39
88,Gornopravdinsk,RU,2021-11-22 13:49:30,60.05,69.9,22.89,96,100,5.77
89,Guerrero Negro,MX,2021-11-22 13:49:30,27.9769,-114.0611,64.45,65,100,1.5
90,Namibe,AO,2021-11-22 13:49:31,-15.1961,12.1522,75.0,66,59,9.01
91,Elko,US,2021-11-22 13:50:31,41.0002,-115.5012,15.82,42,6,3.62
92,Viedma,AR,2021-11-22 13:50:31,-40.8135,-62.9967,67.89,38,0,26.62
93,Bonfim,BR,2021-11-22 13:50:32,3.0833,-59.95,83.34,68,96,3.42
94,Rancho Palos Verdes,US,2021-11-22 13:50:32,33.7445,-118.387,69.51,20,0,1.99
95,Trelew,AR,2021-11-22 13:50:32,-43.249,-65.3051,67.24,30,11,27.58
96,Saint George,US,2021-11-22 13:45:44,37.1041,-113.5841,48.67,48,1,4.61
97,Belmonte,BR,2021-11-22 13:50:33,-15.8631,-38.8828,73.9,80,99,10.83
98,Mahebourg,MU,2021-11-22 13:50:33,-20.4081,57.7,82.69,57,20,8.05
99,Kieta,PG,2021-11-22 13:50:33,-6.2167,155.6333,79.21,83,76,0.72
100,Sao Joao Da Barra,BR,2021-11-22 13:50:34,-21.6403,-41.0511,75.29,64,27,7.9
101,Narsaq,GL,2021-11-22 13:50:34,60.9167,-46.05,15.51,77,14,6.38
102,Carnarvon,AU,2021-11-22 13:50:34,-24.8667,113.6333,69.87,68,0,21.85
103,Batagay,RU,2021-11-22 13:50:35,67.6333,134.6333,-14.94,98,99,3.13
104,Chicama,PE,2021-11-22 13:50:35,-7.8447,-79.1469,61.34,71,95,6.29
105,Bethel,US,2021-11-22 13:50:36,41.3712,-73.414,48.51,89,40,1.01
106,Chokurdakh,RU,2021-11-22 13:50:36,70.6333,147.9167,-15.27,99,100,2.44
107,Luderitz,NA,2021-11-22 13:50:36,-26.6481,15.1594,69.44,65,0,21.32
108,Mataura,NZ,2021-11-22 13:50:37,-46.1927,168.8643,43.63,97,97,0.76
109,Lavrentiya,RU,2021-11-22 13:50:37,65.5833,-171.0,-4.09,92,7,7.94
110,Katsuura,JP,2021-11-22 13:50:37,35.1333,140.3,60.91,81,100,20.92
111,Mar Del Plata,AR,2021-11-22 13:50:38,-38.0023,-57.5575,83.08,52,0,3.0
112,Vinces,EC,2021-11-22 13:50:38,-1.55,-79.7333,73.29,56,61,4.07
113,Vezirkopru,TR,2021-11-22 13:50:38,41.1436,35.4547,61.29,52,6,2.42
114,Delmas,HT,2021-11-22 13:50:39,18.5447,-72.3028,79.52,74,20,6.91
115,Tual,ID,2021-11-22 13:50:39,-5.6667,132.75,83.79,73,93,6.06
116,Nanortalik,GL,2021-11-22 13:50:39,60.1432,-45.2371,26.17,78,33,8.95
117,Yangjiang,CN,2021-11-22 13:50:40,21.85,111.9667,61.0,61,89,11.12
118,Richards Bay,ZA,2021-11-22 13:50:18,-28.783,32.0377,85.15,53,48,20.18
119,Grand Forks,US,2021-11-22 13:46:45,47.9417,-97.4337,19.33,81,90,4.61
120,San Patricio,US,2021-11-22 13:50:40,28.017,-97.5169,62.83,50,100,13.15
121,Victoria,HK,2021-11-22 13:46:32,22.2855,114.1577,65.25,73,100,1.01
122,Shingu,JP,2021-11-22 13:50:41,33.7333,135.9833,51.19,74,100,9.35
123,Longyearbyen,SJ,2021-11-22 13:50:41,78.2186,15.6401,8.44,61,20,14.97
124,Port-Gentil,GA,2021-11-22 13:50:42,-0.7193,8.7815,87.76,66,40,8.05
125,Jaisalmer,IN,2021-11-22 13:50:42,26.9147,70.9181,75.78,12,0,3.89
126,Hasaki,JP,2021-11-22 13:50:42,35.7333,140.8333,59.29,90,100,18.95
127,Varna,BG,2021-11-22 13:50:42,43.2167,27.9167,64.54,42,0,4.61
128,Port Blair,IN,2021-11-22 13:50:43,11.6667,92.75,81.93,83,25,8.59
129,Marystown,CA,2021-11-22 13:50:43,47.1666,-55.1483,42.85,100,100,1.99
130,Pacific Grove,US,2021-11-22 13:50:43,36.6177,-121.9166,60.28,41,1,6.91
131,Oranjemund,NA,2021-11-22 13:50:44,-28.55,16.4333,68.74,66,0,11.97
132,Moron,AR,2021-11-22 13:49:30,-34.6534,-58.6198,90.97,38,87,4.0
133,Tilichiki,RU,2021-11-22 13:50:44,60.4667,166.1,2.89,94,68,10.27
134,Abu Samrah,SY,2021-11-22 13:50:45,35.3029,37.1841,63.48,54,0,5.37
135,Cap Malheureux,MU,2021-11-22 13:50:45,-19.9842,57.6142,82.89,68,24,5.01
136,Biak,ID,2021-11-22 13:50:45,-0.9131,122.8766,77.76,85,92,2.01
137,Clyde River,CA,2021-11-22 13:50:46,70.4692,-68.5914,7.03,92,81,6.91
138,Manakara,MG,2021-11-22 13:51:46,-22.1333,48.0167,79.68,70,7,7.56
139,Adrar,MR,2021-11-22 13:51:47,20.5022,-10.0711,89.64,21,100,7.56
140,Immokalee,US,2021-11-22 13:51:47,26.4187,-81.4173,74.91,95,90,0.0
141,College,US,2021-11-22 13:48:21,64.8569,-147.8028,3.15,67,75,13.8
142,Linxia,CN,2021-11-22 13:51:47,35.6003,103.2064,30.47,44,0,2.17
143,Barrow,US,2021-11-22 13:48:58,71.2906,-156.7887,-3.98,77,1,8.05
